type,time,latitude,longitude,accuracy (m),altitude (m),geoid_height (m),speed (m/s),bearing (deg),sat_used,sat_inview,name,desc
T,2021-10-15 13:16:41,52.08746256,5.16379223,5,57.500,,0.000,246,14,17,,
T,2021-10-15 13:16:42,52.08746256,5.16379223,5,57.500,,0.000,246,14,17,,
T,2021-10-15 13:16:43,52.08746256,5.16379223,5,57.500,,0.125,246,14,18,,
T,2021-10-15 13:16:44,52.08746256,5.16379223,5,57.500,,0.250,250,15,18,,
T,2021-10-15 13:16:45,52.08746256,5.16379223,5,57.500,,0.188,250,15,18,,
T,2021-10-15 13:16:46,52.08746256,5.16379223,5,57.500,,0.188,250,14,18,,
T,2021-10-15 13:16:47,52.08746256,5.16379223,5,57.500,,0.000,250,16,18,,
T,2021-10-15 13:16:48,52.08746256,5.16379223,5,57.500,,0.000,250,15,19,,
T,2021-10-15 13:16:49,52.08746256,5.16379223,5,57.500,,0.000,250,15,19,,
T,2021-10-15 13:16:50,52.08746256,5.16379223,5,57.500,,0.000,250,14,19,,
T,2021-10-15 13:16:51,52.08746256,5.16379223,5,57.500,,0.000,250,15,20,,
T,2021-10-15 13:16:52,52.08746256,5.16379223,5,57.500,,0.000,250,16,20,,
T,2021-10-15 13:16:53,52.08746256,5.16379223,5,57.500,,0.000,250,16,20,,
T,2021-10-15 13:16:54,52.08746256,5.16379223,5,57.500,,0.000,250,15,20,,
T,2021-10-15 13:16:55,52.08746256,5.16379223,5,57.500,,0.000,250,16,20,,
T,2021-10-15 13:16:56,52.08746256,5.16379223,5,57.500,,0.000,250,16,20,,
T,2021-10-15 13:16:57,52.08746256,5.16379223,5,57.500,,0.000,250,15,20,,
T,2021-10-15 13:16:58,52.08746256,5.16379223,5,57.500,,0.000,250,17,19,,
T,2021-10-15 13:16:59,52.08746256,5.16379223,5,57.500,,0.000,250,16,19,,
T,2021-10-15 13:17:00,52.08746256,5.16379223,5,57.500,,0.000,250,15,19,,
T,2021-10-15 13:17:01,52.08746256,5.16379223,5,57.500,,0.000,250,17,19,,
T,2021-10-15 13:17:02,52.08746256,5.16379223,5,57.500,,0.000,250,17,19,,
T,2021-10-15 13:17:03,52.08746256,5.16379223,5,57.500,,0.000,250,17,20,,
T,2021-10-15 13:17:04,52.08746256,5.16379223,5,57.500,,0.000,250,16,20,,
T,2021-10-15 13:17:05,52.08746256,5.16379223,5,57.500,,0.000,250,15,20,,
T,2021-10-15 13:17:06,52.08746256,5.16379223,5,57.500,,0.000,250,16,20,,
T,2021-10-15 13:17:07,52.08746256,5.16379223,5,57.500,,0.000,250,15,20,,
T,2021-10-15 13:17:08,52.08746256,5.16379223,5,57.500,,0.000,250,14,20,,
T,2021-10-15 13:17:09,52.08746256,5.16379223,5,57.500,,0.000,250,17,19,,
T,2021-10-15 13:17:10,52.08746256,5.16379223,5,57.500,,0.000,250,15,19,,
T,2021-10-15 13:17:11,52.08746256,5.16379223,5,57.500,,0.000,250,16,20,,
T,2021-10-15 13:17:12,52.08746256,5.16379223,5,57.500,,0.000,250,16,20,,
T,2021-10-15 13:17:13,52.08746256,5.16379223,5,57.500,,0.000,250,15,19,,
T,2021-10-15 13:17:14,52.08746256,5.16379223,5,57.500,,0.000,250,17,19,,
T,2021-10-15 13:17:15,52.08746256,5.16379223,5,57.500,,0.000,250,17,19,,
T,2021-10-15 13:17:16,52.08746256,5.16379223,5,57.500,,0.000,250,17,19,,
T,2021-10-15 13:17:17,52.08746256,5.16379223,5,57.500,,0.000,250,16,19,,
T,2021-10-15 13:17:18,52.08746256,5.16379223,5,57.500,,0.000,250,15,19,,
T,2021-10-15 13:17:19,52.08746256,5.16379223,5,57.500,,0.000,250,16,19,,
T,2021-10-15 13:17:20,52.08746256,5.16379223,5,57.500,,0.000,250,15,19,,
T,2021-10-15 13:17:21,52.08746256,5.16379223,5,57.500,,0.000,250,16,19,,
T,2021-10-15 13:17:22,52.08746256,5.16379223,5,57.500,,0.000,250,16,19,,
T,2021-10-15 13:17:23,52.08746256,5.16379223,5,57.500,,0.000,250,16,20,,
T,2021-10-15 13:17:24,52.08746256,5.16379223,5,57.500,,0.000,250,15,20,,
T,2021-10-15 13:17:25,52.08746256,5.16379223,5,57.500,,0.000,250,17,20,,
T,2021-10-15 13:17:26,52.08746256,5.16379223,5,57.500,,0.000,250,17,20,,
T,2021-10-15 13:17:27,52.08746256,5.16379223,5,57.500,,0.000,250,15,20,,
T,2021-10-15 13:17:28,52.08746256,5.16379223,5,57.500,,0.000,250,15,19,,
T,2021-10-15 13:17:29,52.08746256,5.16379223,5,57.500,,0.000,250,16,19,,
T,2021-10-15 13:17:30,52.08746256,5.16379223,5,57.500,,0.000,250,15,20,,
T,2021-10-15 13:17:31,52.08746256,5.16379223,5,57.500,,0.000,250,17,20,,
T,2021-10-15 13:17:32,52.08746256,5.16379223,5,57.500,,0.000,250,17,20,,
T,2021-10-15 13:17:33,52.08746256,5.16379223,5,57.500,,0.000,250,18,20,,
T,2021-10-15 13:17:34,52.08746256,5.16379223,5,57.500,,0.000,250,18,20,,
T,2021-10-15 13:17:35,52.08746256,5.16379223,5,57.500,,0.000,250,16,20,,
T,2021-10-15 13:17:36,52.08746256,5.16379223,5,57.500,,0.000,250,16,20,,
T,2021-10-15 13:17:37,52.08746256,5.16379223,5,57.500,,0.000,250,17,20,,
T,2021-10-15 13:17:38,52.08746256,5.16379223,5,57.500,,0.000,250,17,19,,
T,2021-10-15 13:17:39,52.08746256,5.16379223,5,57.500,,0.000,250,17,19,,
T,2021-10-15 13:17:40,52.08746256,5.16379223,5,57.500,,0.000,250,17,20,,
T,2021-10-15 13:17:41,52.08746256,5.16379223,5,57.500,,0.000,250,18,20,,
T,2021-10-15 13:17:42,52.08746256,5.16379223,5,57.500,,0.000,250,18,20,,
T,2021-10-15 13:17:43,52.08746256,5.16379223,5,57.500,,0.000,250,17,20,,
T,2021-10-15 13:17:44,52.08746256,5.16379223,5,57.500,,0.000,250,18,20,,
T,2021-10-15 13:17:45,52.08746256,5.16379223,5,57.500,,0.000,250,18,20,,
T,2021-10-15 13:17:46,52.08746256,5.16379223,5,57.500,,0.000,250,17,20,,
T,2021-10-15 13:17:47,52.08746256,5.16379223,5,57.500,,0.000,250,17,19,,
T,2021-10-15 13:17:48,52.08746256,5.16379223,5,57.500,,0.000,250,16,19,,
T,2021-10-15 13:17:49,52.08746256,5.16379223,5,57.500,,0.000,250,17,20,,
T,2021-10-15 13:17:50,52.08746256,5.16379223,5,57.500,,0.000,250,15,19,,
T,2021-10-15 13:17:51,52.08746256,5.16379223,5,57.500,,0.000,250,17,19,,
T,2021-10-15 13:17:52,52.08746256,5.16379223,5,57.500,,0.000,250,15,19,,
T,2021-10-15 13:17:53,52.08746256,5.16379223,5,57.500,,0.000,250,18,20,,
T,2021-10-15 13:17:54,52.08746256,5.16379223,5,57.500,,0.000,250,17,20,,
T,2021-10-15 13:17:55,52.08746256,5.16379223,5,57.500,,0.000,250,16,20,,
T,2021-10-15 13:17:56,52.08746256,5.16379223,5,57.500,,0.000,250,17,20,,
T,2021-10-15 13:17:57,52.08746256,5.16379223,5,57.500,,0.000,250,17,20,,
T,2021-10-15 13:17:58,52.08746256,5.16379223,5,57.500,,0.000,250,17,20,,
T,2021-10-15 13:17:59,52.08746256,5.16379223,5,57.500,,0.000,250,16,20,,
T,2021-10-15 13:18:00,52.08746256,5.16379223,5,57.500,,0.000,250,17,20,,
T,2021-10-15 13:18:01,52.08746256,5.16379223,5,57.500,,0.000,250,17,20,,
T,2021-10-15 13:18:02,52.08746256,5.16379223,5,57.500,,0.000,250,17,20,,
T,2021-10-15 13:18:03,52.08746256,5.16379223,5,57.500,,0.000,250,15,19,,
T,2021-10-15 13:18:04,52.08746256,5.16379223,5,57.500,,0.000,250,16,19,,
T,2021-10-15 13:18:05,52.08746256,5.16379223,5,57.500,,0.000,250,16,19,,
T,2021-10-15 13:18:06,52.08746256,5.16379223,5,57.500,,0.000,250,16,19,,
T,2021-10-15 13:18:07,52.08746256,5.16379223,5,57.500,,0.000,250,16,19,,
T,2021-10-15 13:18:08,52.08746256,5.16379223,5,57.500,,0.000,250,16,20,,
T,2021-10-15 13:18:09,52.08746256,5.16379223,5,57.500,,0.000,250,16,20,,
T,2021-10-15 13:18:10,52.08746256,5.16379223,5,57.500,,0.000,250,16,20,,
T,2021-10-15 13:18:11,52.08746256,5.16379223,5,57.500,,0.000,250,17,20,,
T,2021-10-15 13:18:12,52.08746256,5.16379223,5,57.500,,0.000,250,17,20,,
T,2021-10-15 13:18:13,52.08746256,5.16379223,5,57.500,,0.000,250,15,20,,
T,2021-10-15 13:18:14,52.08746256,5.16379223,5,57.500,,0.000,250,17,20,,
T,2021-10-15 13:18:15,52.08746256,5.16379223,5,57.500,,0.000,250,14,20,,
T,2021-10-15 13:18:16,52.08746256,5.16379223,5,57.500,,0.000,250,16,20,,
T,2021-10-15 13:18:17,52.08746256,5.16379223,5,57.500,,0.000,250,17,20,,
T,2021-10-15 13:18:18,52.08746256,5.16379223,5,57.500,,0.062,250,17,20,,
T,2021-10-15 13:18:19,52.08746256,5.16379223,5,57.500,,0.250,250,16,20,,
T,2021-10-15 13:18:20,52.08746256,5.16379223,5,57.500,,0.250,250,17,20,,
T,2021-10-15 13:18:21,52.08748423,5.16375954,5,55.900,,1.188,256,16,19,,
T,2021-10-15 13:18:22,52.08748343,5.16374689,5,55.700,,0.875,257,16,19,,
T,2021-10-15 13:18:23,52.08748188,5.16374010,5,55.500,,0.000,258,17,20,,
T,2021-10-15 13:18:24,52.08747912,5.16373213,5,55.600,,0.625,258,17,20,,
T,2021-10-15 13:18:25,52.08747954,5.16372300,5,55.600,,0.562,257,17,20,,
T,2021-10-15 13:18:26,52.08747744,5.16371168,5,55.600,,0.750,256,18,20,,
T,2021-10-15 13:18:27,52.08747208,5.16369576,5,55.700,,1.188,247,18,21,,
T,2021-10-15 13:18:28,52.08746981,5.16368872,5,55.500,,0.562,251,18,21,,
T,2021-10-15 13:18:29,52.08747128,5.16367958,5,55.400,,0.625,253,17,21,,
T,2021-10-15 13:18:30,52.08747178,5.16366432,5,55.200,,0.812,261,18,21,,
T,2021-10-15 13:18:31,52.08747547,5.16363767,5,55.100,,1.438,282,18,21,,
T,2021-10-15 13:18:32,52.08747899,5.16361655,5,55.000,,1.250,286,17,20,,
T,2021-10-15 13:18:33,52.08747857,5.16359660,5,54.900,,1.125,278,17,20,,
T,2021-10-15 13:18:34,52.08747417,5.16357883,5,54.900,,1.188,276,18,21,,
T,2021-10-15 13:18:35,52.08746931,5.16356056,5,54.900,,1.188,272,18,21,,
T,2021-10-15 13:18:36,52.08746202,5.16354522,5,55.100,,1.125,257,17,21,,
T,2021-10-15 13:18:37,52.08745171,5.16353809,5,55.100,,1.062,234,17,20,,
T,2021-10-15 13:18:38,52.08744152,5.16353600,5,55.100,,1.062,204,17,20,,
T,2021-10-15 13:18:39,52.08742937,5.16353994,5,55.000,,1.375,175,17,21,,
T,2021-10-15 13:18:40,52.08741244,5.16354488,5,54.900,,1.750,164,17,21,,
T,2021-10-15 13:18:41,52.08739903,5.16354891,5,54.800,,1.500,161,17,21,,
T,2021-10-15 13:18:42,52.08738792,5.16355234,5,54.700,,1.250,157,18,21,,
T,2021-10-15 13:18:43,52.08738155,5.16355452,5,54.600,,0.812,149,17,21,,
T,2021-10-15 13:18:44,52.08737719,5.16355662,5,54.500,,0.500,141,17,21,,
T,2021-10-15 13:18:45,52.08737501,5.16355888,5,54.400,,0.312,133,16,21,,
T,2021-10-15 13:18:46,52.08737501,5.16355888,5,54.400,,0.125,135,14,21,,
T,2021-10-15 13:18:47,52.08737501,5.16355888,5,54.400,,0.000,138,15,21,,
